service_id,date,exception_type
"4418_247422","20231002","1"
"4418_247422","20231003","1"
"4418_247422","20231004","1"
"4418_247422","20231005","1"
"4418_247422","20231006","1"
"4418_247422","20231007","1"
"4418_247422","20231009","1"
"4418_247422","20231010","1"
"4418_247422","20231011","1"
"4418_247422","20231012","1"
"4418_247422","20231013","1"
"4418_247422","20231014","1"
"4418_247422","20231016","1"
"4418_247422","20231017","1"
"4418_247422","20231018","1"
"4418_247422","20231019","1"
"4418_247422","20231020","1"
"4418_247422","20231021","1"
"4418_247422","20231023","1"
"4418_247422","20231024","1"
"4418_247422","20231025","1"
"4418_247422","20231026","1"
"4418_247422","20231027","1"
"4418_247422","20231028","1"
"4418_247422","20231030","1"
"4418_247422","20231031","1"
"4418_247422","20231102","1"
"4418_247422","20231103","1"
"4418_247422","20231104","1"
"4418_247422","20231106","1"
"4418_247422","20231107","1"
"4418_247422","20231108","1"
"4418_247422","20231109","1"
"4418_247422","20231110","1"
"4418_247422","20231111","1"
"4418_247422","20231113","1"
"4418_247422","20231114","1"
"4418_247422","20231115","1"
"4418_247422","20231116","1"
"4418_247422","20231117","1"
"4418_247422","20231118","1"
"4418_247422","20231120","1"
"4418_247422","20231121","1"
"4418_247422","20231122","1"
"4418_247422","20231123","1"
"4418_247422","20231124","1"
"4418_247422","20231125","1"
"4418_247422","20231127","1"
"4418_247422","20231128","1"
"4418_247422","20231129","1"
"4418_247422","20231130","1"
"4418_247422","20231201","1"
"4418_247422","20231202","1"
"4418_247422","20231204","1"
"4418_247422","20231205","1"
"4418_247422","20231206","1"
"4418_247422","20231207","1"
"4418_247422","20231209","1"
"4418_247424","20230621","1"
"4418_247424","20230622","1"
"4418_247424","20230623","1"
"4418_247424","20230624","1"
"4418_247424","20230626","1"
"4418_247424","20230627","1"
"4418_247424","20230628","1"
"4418_247424","20230629","1"
"4418_247424","20230630","1"
"4418_247424","20230701","1"
"4418_247424","20230703","1"
"4418_247424","20230704","1"
"4418_247424","20230705","1"
"4418_247424","20230706","1"
"4418_247424","20230707","1"
"4418_247424","20230708","1"
"4418_247424","20230710","1"
"4418_247424","20230711","1"
"4418_247424","20230712","1"
"4418_247424","20230713","1"
"4418_247424","20230714","1"
"4418_247424","20230715","1"
"4418_247424","20230717","1"
"4418_247424","20230718","1"
"4418_247424","20230719","1"
"4418_247424","20230720","1"
"4418_247424","20230721","1"
"4418_247424","20230722","1"
"4418_247424","20230724","1"
"4418_247424","20230725","1"
"4418_247424","20230726","1"
"4418_247424","20230727","1"
"4418_247424","20230728","1"
"4418_247424","20230729","1"
"4418_247424","20230731","1"
"4418_247424","20230801","1"
"4418_247424","20230802","1"
"4418_247424","20230803","1"
"4418_247424","20230804","1"
"4418_247424","20230805","1"
"4418_247424","20230807","1"
"4418_247424","20230808","1"
"4418_247424","20230809","1"
"4418_247424","20230810","1"
"4418_247424","20230811","1"
"4418_247424","20230904","1"
"4418_247424","20230905","1"
"4418_247424","20230906","1"
"4418_247424","20230907","1"
"4418_247424","20230908","1"
"4418_247424","20230909","1"
"4418_247424","20230911","1"
"4418_247424","20230912","1"
"4418_247424","20230913","1"
"4418_247424","20230914","1"
"4418_247424","20230915","1"
"4418_247424","20230916","1"
"4418_247424","20230918","1"
"4418_247424","20230919","1"
"4418_247424","20230920","1"
"4418_247424","20230921","1"
"4418_247424","20230922","1"
"4418_247424","20230923","1"
"4418_247424","20230925","1"
"4418_247424","20230926","1"
"4418_247424","20230927","1"
"4418_247424","20230928","1"
"4418_247424","20230929","1"
"4418_247424","20230930","1"
"4418_247424","20231002","1"
"4418_247424","20231003","1"
"4418_247424","20231004","1"
"4418_247424","20231005","1"
"4418_247424","20231006","1"
"4418_247424","20231007","1"
"4418_247424","20231009","1"
"4418_247424","20231010","1"
"4418_247424","20231011","1"
"4418_247424","20231012","1"
"4418_247424","20231013","1"
"4418_247424","20231014","1"
"4418_247424","20231016","1"
"4418_247424","20231017","1"
"4418_247424","20231018","1"
"4418_247424","20231019","1"
"4418_247424","20231020","1"
"4418_247424","20231021","1"
"4418_247424","20231023","1"
"4418_247424","20231024","1"
"4418_247424","20231025","1"
"4418_247424","20231026","1"
"4418_247424","20231027","1"
"4418_247424","20231028","1"
"4418_247424","20231030","1"
"4418_247424","20231031","1"
"4418_247424","20231102","1"
"4418_247424","20231103","1"
"4418_247424","20231104","1"
"4418_247424","20231106","1"
"4418_247424","20231107","1"
"4418_247424","20231108","1"
"4418_247424","20231109","1"
"4418_247424","20231110","1"
"4418_247424","20231111","1"
"4418_247424","20231113","1"
"4418_247424","20231114","1"
"4418_247424","20231115","1"
"4418_247424","20231116","1"
"4418_247424","20231117","1"
"4418_247424","20231118","1"
"4418_247424","20231120","1"
"4418_247424","20231121","1"
"4418_247424","20231122","1"
"4418_247424","20231123","1"
"4418_247424","20231124","1"
"4418_247424","20231125","1"
"4418_247424","20231127","1"
"4418_247424","20231128","1"
"4418_247424","20231129","1"
"4418_247424","20231130","1"
"4418_247424","20231201","1"
"4418_247424","20231202","1"
"4418_247424","20231204","1"
"4418_247424","20231205","1"
"4418_247424","20231206","1"
"4418_247424","20231207","1"
"4418_247424","20231209","1"
"4418_247432","20230813","1"
"4418_247432","20230815","1"
"4418_247432","20230820","1"
"4418_247432","20230827","1"
"4418_247432","20230903","1"
"4418_247451","20230621","1"
"4418_247451","20230622","1"
"4418_247451","20230623","1"
"4418_247451","20230624","1"
"4418_247451","20230626","1"
"4418_247451","20230627","1"
"4418_247451","20230628","1"
"4418_247451","20230629","1"
"4418_247451","20230630","1"
"4418_247451","20230701","1"
"4418_247451","20230703","1"
"4418_247451","20230704","1"
"4418_247451","20230705","1"
"4418_247451","20230706","1"
"4418_247451","20230707","1"
"4418_247451","20230708","1"
"4418_247451","20230710","1"
"4418_247451","20230711","1"
"4418_247451","20230712","1"
"4418_247451","20230713","1"
"4418_247451","20230714","1"
"4418_247451","20230715","1"
"4418_247451","20230717","1"
"4418_247451","20230718","1"
"4418_247451","20230719","1"
"4418_247451","20230720","1"
"4418_247451","20230721","1"
"4418_247451","20230722","1"
"4418_247451","20230724","1"
"4418_247451","20230725","1"
"4418_247451","20230726","1"
"4418_247451","20230727","1"
"4418_247451","20230728","1"
"4418_247451","20230729","1"
"4418_247451","20230731","1"
"4418_247451","20230801","1"
"4418_247451","20230802","1"
"4418_247451","20230803","1"
"4418_247451","20230804","1"
"4418_247451","20230805","1"
"4418_247451","20230807","1"
"4418_247451","20230808","1"
"4418_247451","20230809","1"
"4418_247451","20230810","1"
"4418_247451","20230811","1"
"4418_247451","20230812","1"
"4418_247451","20230814","1"
"4418_247451","20230816","1"
"4418_247451","20230817","1"
"4418_247451","20230818","1"
"4418_247451","20230819","1"
"4418_247451","20230821","1"
"4418_247451","20230822","1"
"4418_247451","20230823","1"
"4418_247451","20230824","1"
"4418_247451","20230825","1"
"4418_247451","20230826","1"
"4418_247451","20230828","1"
"4418_247451","20230829","1"
"4418_247451","20230830","1"
"4418_247451","20230831","1"
"4418_247451","20230901","1"
"4418_247451","20230902","1"
"4418_247451","20230904","1"
"4418_247451","20230905","1"
"4418_247451","20230906","1"
"4418_247451","20230907","1"
"4418_247451","20230908","1"
"4418_247451","20230909","1"
"4418_247451","20230911","1"
"4418_247451","20230912","1"
"4418_247451","20230913","1"
"4418_247451","20230914","1"
"4418_247451","20230915","1"
"4418_247451","20230916","1"
"4418_247451","20230918","1"
"4418_247451","20230919","1"
"4418_247451","20230920","1"
"4418_247451","20230921","1"
"4418_247451","20230922","1"
"4418_247451","20230923","1"
"4418_247451","20230925","1"
"4418_247451","20230926","1"
"4418_247451","20230927","1"
"4418_247451","20230928","1"
"4418_247451","20230929","1"
"4418_247451","20230930","1"
"4418_247451","20231002","1"
"4418_247451","20231003","1"
"4418_247451","20231004","1"
"4418_247451","20231005","1"
"4418_247451","20231006","1"
"4418_247451","20231007","1"
"4418_247451","20231009","1"
"4418_247451","20231010","1"
"4418_247451","20231011","1"
"4418_247451","20231012","1"
"4418_247451","20231013","1"
"4418_247451","20231014","1"
"4418_247451","20231016","1"
"4418_247451","20231017","1"
"4418_247451","20231018","1"
"4418_247451","20231019","1"
"4418_247451","20231020","1"
"4418_247451","20231021","1"
"4418_247451","20231023","1"
"4418_247451","20231024","1"
"4418_247451","20231025","1"
"4418_247451","20231026","1"
"4418_247451","20231027","1"
"4418_247451","20231028","1"
"4418_247451","20231030","1"
"4418_247451","20231031","1"
"4418_247451","20231102","1"
"4418_247451","20231103","1"
"4418_247451","20231104","1"
"4418_247451","20231106","1"
"4418_247451","20231107","1"
"4418_247451","20231108","1"
"4418_247451","20231109","1"
"4418_247451","20231110","1"
"4418_247451","20231111","1"
"4418_247451","20231113","1"
"4418_247451","20231114","1"
"4418_247451","20231115","1"
"4418_247451","20231116","1"
"4418_247451","20231117","1"
"4418_247451","20231118","1"
"4418_247451","20231120","1"
"4418_247451","20231121","1"
"4418_247451","20231122","1"
"4418_247451","20231123","1"
"4418_247451","20231124","1"
"4418_247451","20231125","1"
"4418_247451","20231127","1"
"4418_247451","20231128","1"
"4418_247451","20231129","1"
"4418_247451","20231130","1"
"4418_247451","20231201","1"
"4418_247451","20231202","1"
"4418_247451","20231204","1"
"4418_247451","20231205","1"
"4418_247451","20231206","1"
"4418_247451","20231207","1"
"4418_247451","20231209","1"
"4418_247463","20230813","1"
"4418_247463","20230815","1"
"4418_247463","20230816","1"
"4418_247463","20230817","1"
"4418_247463","20230818","1"
"4418_247463","20230820","1"
"4418_247463","20230821","1"
"4418_247463","20230822","1"
"4418_247463","20230823","1"
"4418_247463","20230824","1"
"4418_247463","20230825","1"
"4418_247463","20230827","1"
"4418_247463","20230828","1"
"4418_247463","20230829","1"
"4418_247463","20230830","1"
"4418_247463","20230831","1"
"4418_247463","20230901","1"
"4418_247463","20230903","1"
"4418_247464","20230814","1"
"4418_247464","20230815","1"
"4418_247464","20230816","1"
"4418_247464","20230817","1"
"4418_247465","20230811","1"
"4418_247465","20230812","1"
"4418_247465","20230813","1"
"4418_247465","20230814","1"
"4418_247465","20230815","1"
"4418_247465","20230816","1"
"4418_247465","20230817","1"
"4418_247465","20230818","1"
"4418_247465","20230819","1"
"4418_247465","20230820","1"
"4418_247465","20230821","1"
"4418_247465","20230822","1"
"4418_247465","20230823","1"
"4418_247465","20230824","1"
"4418_247465","20230825","1"
"4418_247465","20230826","1"
"4418_247465","20230827","1"
"4418_247465","20230828","1"
"4418_247465","20230829","1"
"4418_247465","20230830","1"
"4418_247465","20230831","1"
"4418_247465","20230901","1"
"4418_247465","20230902","1"
"4418_247465","20230903","1"
"4418_247466","20230814","1"
"4418_247466","20230816","1"
"4418_247466","20230817","1"
"4418_247466","20230818","1"
"4418_247466","20230821","1"
"4418_247466","20230822","1"
"4418_247466","20230823","1"
"4418_247466","20230824","1"
"4418_247466","20230825","1"
"4418_247466","20230828","1"
"4418_247466","20230829","1"
"4418_247466","20230830","1"
"4418_247466","20230831","1"
"4418_247466","20230901","1"
"4418_247467","20230812","1"
"4418_247467","20230819","1"
"4418_247467","20230826","1"
"4418_247467","20230902","1"
"4418_247468","20230813","1"
"4418_247468","20230820","1"
"4418_247468","20230827","1"
"4418_247468","20230903","1"
"4418_247469","20230812","1"
"4418_247469","20230813","1"
"4418_247469","20230819","1"
"4418_247469","20230820","1"
"4418_247469","20230821","1"
"4418_247469","20230822","1"
"4418_247469","20230823","1"
"4418_247469","20230824","1"
"4418_247469","20230825","1"
"4418_247469","20230826","1"
"4418_247469","20230827","1"
"4418_247469","20230828","1"
"4418_247469","20230829","1"
"4418_247469","20230830","1"
"4418_247469","20230831","1"
"4418_247469","20230901","1"
"4418_247469","20230902","1"
"4418_247469","20230903","1"
"4418_247477","20230621","1"
"4418_247477","20230622","1"
"4418_247477","20230623","1"
"4418_247477","20230624","1"
"4418_247477","20230625","1"
"4418_247477","20230626","1"
"4418_247477","20230627","1"
"4418_247477","20230628","1"
"4418_247477","20230629","1"
"4418_247477","20230630","1"
"4418_247477","20230701","1"
"4418_247477","20230702","1"
"4418_247477","20230703","1"
"4418_247477","20230704","1"
"4418_247477","20230705","1"
"4418_247477","20230706","1"
"4418_247477","20230707","1"
"4418_247477","20230708","1"
"4418_247477","20230709","1"
"4418_247477","20230710","1"
"4418_247477","20230711","1"
"4418_247477","20230712","1"
"4418_247477","20230713","1"
"4418_247477","20230714","1"
"4418_247477","20230715","1"
"4418_247477","20230716","1"
"4418_247477","20230717","1"
"4418_247477","20230718","1"
"4418_247477","20230719","1"
"4418_247477","20230720","1"
"4418_247477","20230721","1"
"4418_247477","20230722","1"
"4418_247477","20230723","1"
"4418_247477","20230724","1"
"4418_247477","20230725","1"
"4418_247477","20230726","1"
"4418_247477","20230727","1"
"4418_247477","20230728","1"
"4418_247477","20230729","1"
"4418_247477","20230730","1"
"4418_247477","20230731","1"
"4418_247477","20230801","1"
"4418_247477","20230802","1"
"4418_247477","20230803","1"
"4418_247477","20230804","1"
"4418_247477","20230805","1"
"4418_247477","20230806","1"
"4418_247477","20230807","1"
"4418_247477","20230808","1"
"4418_247477","20230809","1"
"4418_247477","20230810","1"
"4418_247477","20230811","1"
"4418_247477","20230812","1"
"4418_247477","20230813","1"
"4418_247477","20230814","1"
"4418_247477","20230815","1"
"4418_247477","20230816","1"
"4418_247477","20230817","1"
"4418_247477","20230818","1"
"4418_247477","20230819","1"
"4418_247477","20230820","1"
"4418_247477","20230821","1"
"4418_247477","20230822","1"
"4418_247477","20230823","1"
"4418_247477","20230824","1"
"4418_247477","20230825","1"
"4418_247477","20230826","1"
"4418_247477","20230827","1"
"4418_247477","20230828","1"
"4418_247477","20230829","1"
"4418_247477","20230830","1"
"4418_247477","20230831","1"
"4418_247477","20230901","1"
"4418_247477","20230902","1"
"4418_247477","20230903","1"
"4418_247477","20230904","1"
"4418_247477","20230905","1"
"4418_247477","20230906","1"
"4418_247477","20230907","1"
"4418_247477","20230908","1"
"4418_247477","20230909","1"
"4418_247477","20230910","1"
"4418_247477","20230911","1"
"4418_247477","20230912","1"
"4418_247477","20230913","1"
"4418_247477","20230914","1"
"4418_247477","20230915","1"
"4418_247477","20230916","1"
"4418_247477","20230917","1"
"4418_247477","20230918","1"
"4418_247477","20230919","1"
"4418_247477","20230920","1"
"4418_247477","20230921","1"
"4418_247477","20230922","1"
"4418_247477","20230923","1"
"4418_247477","20230924","1"
"4418_247477","20230925","1"
"4418_247477","20230926","1"
"4418_247477","20230927","1"
"4418_247477","20230928","1"
"4418_247477","20230929","1"
"4418_247477","20230930","1"
"4418_247477","20231001","1"
"4418_247477","20231002","1"
"4418_247477","20231003","1"
"4418_247477","20231004","1"
"4418_247477","20231005","1"
"4418_247477","20231006","1"
"4418_247477","20231007","1"
"4418_247477","20231008","1"
"4418_247477","20231009","1"
"4418_247477","20231010","1"
"4418_247477","20231011","1"
"4418_247477","20231012","1"
"4418_247477","20231013","1"
"4418_247477","20231014","1"
"4418_247477","20231015","1"
"4418_247477","20231016","1"
"4418_247477","20231017","1"
"4418_247477","20231018","1"
"4418_247477","20231019","1"
"4418_247477","20231020","1"
"4418_247477","20231021","1"
"4418_247477","20231022","1"
"4418_247477","20231023","1"
"4418_247477","20231024","1"
"4418_247477","20231025","1"
"4418_247477","20231026","1"
"4418_247477","20231027","1"
"4418_247477","20231028","1"
"4418_247477","20231029","1"
"4418_247477","20231030","1"
"4418_247477","20231031","1"
"4418_247477","20231101","1"
"4418_247477","20231102","1"
"4418_247477","20231103","1"
"4418_247477","20231104","1"
"4418_247477","20231105","1"
"4418_247477","20231106","1"
"4418_247477","20231107","1"
"4418_247477","20231108","1"
"4418_247477","20231109","1"
"4418_247477","20231110","1"
"4418_247477","20231111","1"
"4418_247477","20231112","1"
"4418_247477","20231113","1"
"4418_247477","20231114","1"
"4418_247477","20231115","1"
"4418_247477","20231116","1"
"4418_247477","20231117","1"
"4418_247477","20231118","1"
"4418_247477","20231119","1"
"4418_247477","20231120","1"
"4418_247477","20231121","1"
