route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,shape_id
"1072814206","4418_247420","4418_296908","Firenze Smn","06120","1","3278080546"
"1072814206","4418_247420","4418_296909","Firenze Smn","06146","1","2599383580"
"1072814206","4418_247420","4418_296910","Chiusi C.T.","06223","0","4118451378"
"1072814206","4418_247420","4418_296911","Prato C.Le","06096","1","2869563744"
"1072814206","4418_247420","4418_296912","Firenze Smn","04092","1","3187708038"
"1072814206","4418_247420","4418_296913","Montevarchi T.","18739","0","3897994544"
"1072814206","4418_247420","4418_296914","Chiusi C.T.","04053","0","251334019"
"1072814206","4418_247420","4418_296915","Firenze Smn","06016","1","3972176026"
"1072814206","4418_247420","4418_296916","Firenze Smn","06150","1","3972176026"
"1072814206","4418_247420","4418_296917","Firenze Smn","06154","1","4047452937"
"1072814206","4418_247420","4418_296918","Arezzo","04123","0","2609485209"
"1072814206","4418_247420","4418_296919","Firenze Smn","18780","1","3678793856"
"1072814206","4418_247420","4418_296920","Firenze Smn","18766","1","3678793856"
"1072814206","4418_247420","4418_296921","Montevarchi T.","18773","0","3312975571"
"1072814206","4418_247420","4418_296922","S.Giovanni V.No","18749","0","2680988534"
"1072814206","4418_247420","4418_296923","Chiusi C.T.","04025","0","251334019"
"1072814206","4418_247420","4418_296924","Prato C.Le","18856","1","3542035948"
"1072814206","4418_247420","4418_296925","S.Giovanni V.No","18737","0","3323460874"
"1072814206","4418_247420","4418_296926","Firenze Smn","18746","1","3517782174"
"1072814206","4418_247422","4418_296936","Firenze Smn","18958","1","3051846041"
"1072814206","4418_247422","4418_296937","Firenze Smn","18962","1","3051846041"
"1072814206","4418_247424","4418_296967","Firenze Smn","18730","1","1454796433"
"1072814206","4418_247424","4418_296968","Firenze Smn","04092","1","2599383580"
"1072814206","4418_247424","4418_296969","Prato C.Le","18856","1","3151779105"
"1072814206","4418_247424","4418_296970","Chiusi C.T.","04121","0","223675335"
"1072814206","4418_247424","4418_296971","Chiusi C.T.","04119","0","4025217455"
"1072814206","4418_247424","4418_296972","Firenze Smn","04120","1","1252811948"
"1072814206","4418_247424","4418_296973","Arezzo","18741","0","430826900"
"1072814206","4418_247424","4418_296974","Firenze Smn","18746","1","593396882"
"1072814206","4418_247424","4418_296975","Chiusi C.T.","18733","0","1248521587"
"1072814206","4418_247424","4418_296976","Firenze Smn","04118","1","7985760"
"1072814206","4418_247424","4418_296977","Chiusi C.T.","18779","0","2642889090"
"1072814206","4418_247424","4418_296978","Firenze Smn","18750","1","753958177"
"1072814206","4418_247424","4418_296979","Chiusi C.T.","18745","0","1765826618"
"1072814206","4418_247424","4418_296980","Arezzo","18749","0","3950891282"
"1072814206","4418_247424","4418_296981","Firenze Smn","18738","1","1454796433"
"1072814206","4418_247424","4418_296982","Arezzo","18755","0","3950891282"
"1072814206","4418_247424","4418_296983","Firenze Smn","18756","1","1454796433"
"1072814206","4418_247424","4418_296984","Firenze Smn","18780","1","1454796433"
"1072814206","4418_247424","4418_296985","Arezzo","18763","0","3950891282"
"1072814206","4418_247424","4418_296986","Arezzo","18789","0","3950891282"
"1072814206","4418_247424","4418_296987","Firenze Smn","18740","1","1454796433"
"1072814206","4418_247424","4418_296988","Firenze Smn","18766","1","1454796433"
"1072814206","4418_247424","4418_296989","Arezzo","18769","0","2191493583"
"1072814206","4418_247424","4418_296990","Firenze Smn","18734","1","141874965"
"1072814206","4418_247424","4418_296991","Arezzo","18737","0","1875740135"
"1072814206","4418_247424","4418_296992","Arezzo","18773","0","3950891282"
"1072814206","4418_247424","4418_296993","Firenze Smn","04116","1","2599383580"
"1072814206","4418_247432","4418_297003","Chiusi C.T.","04055","0","251334019"
"1072814206","4418_247432","4418_297004","Firenze Smn","04022","1","1665854557"
"1072814206","4418_247432","4418_297005","Montevarchi T.","18735","0","3897994544"
"1072814206","4418_247432","4418_297006","Montevarchi T.","18783","0","3312975571"
"1072814206","4418_247432","4418_297007","Montevarchi T.","18775","0","3312975571"
"1072814206","4418_247432","4418_297008","Firenze Smn","18752","1","3678793856"
"1072814206","4418_247432","4418_297009","Firenze Smn","18742","1","3678793856"
"1072814206","4418_247432","4418_297010","Firenze Smn","18768","1","3678793856"
"1072814206","4418_247432","4418_297011","Firenze Smn","18764","1","3678793856"
"1072814206","4418_247432","4418_297012","Montevarchi T.","18751","0","3312975571"
"1072814206","4418_247432","4418_297013","Firenze Smn","06118","1","1072814206"
"1072814206","4418_247432","4418_297014","S.Giovanni V.No","18777","0","2680988534"
"1072814206","4418_247432","4418_297015","Montevarchi T.","18767","0","3312975571"
"1072814206","4418_247432","4418_297016","Montevarchi T.","18787","0","3312975571"
"1072814206","4418_247432","4418_297017","Montevarchi T.","18743","0","3312975571"
"1072814206","4418_247432","4418_297018","Firenze Smn","18782","1","3678793856"
"1072814206","4418_247451","4418_297088","Arezzo","18712","1","350224470"
"1072814206","4418_247451","4418_297089","Arezzo","04117","0","2075057536"
"1072814206","4418_247463","4418_297111","Arezzo","06241","0","2609485209"
"1072814206","4418_247464","4418_297112","Orte","06245","0","358016742"
"1072814206","4418_247465","4418_297113","Arezzo","06139","0","2609485209"
"1072814206","4418_247466","4418_297114","Arezzo","18759","0","3801156632"
"1072814206","4418_247466","4418_297115","Firenze Smn","06240","1","3972176026"
"1072814206","4418_247466","4418_297116","Firenze Smn","18784","1","2323264851"
"1072814206","4418_247466","4418_297117","S.Giovanni V.No","18785","0","3123713209"
"1072814206","4418_247466","4418_297118","Montevarchi T.","18857","0","2177628995"
"1072814206","4418_247466","4418_297119","Pistoia","06148","1","2721540391"
"1072814206","4418_247466","4418_297120","Firenze Smn","18770","1","3678793856"
"1072814206","4418_247466","4418_297121","Firenze Smn","18776","1","3417099533"
"1072814206","4418_247466","4418_297122","Firenze Smn","18778","1","2323264851"
"1072814206","4418_247466","4418_297123","Firenze Smn","18744","1","949137179"
"1072814206","4418_247466","4418_297124","Prato C.Le","18828","1","3542035948"
"1072814206","4418_247466","4418_297125","Figline Valdarno","18835","0","2032718670"
"1072814206","4418_247467","4418_297126","S.Giovanni V.No","06201","0","2950819872"
"1072814206","4418_247467","4418_297127","Montevarchi T.","18781","0","3312975571"
"1072814206","4418_247467","4418_297128","Firenze Smn","18748","1","3417099533"
"1072814206","4418_247467","4418_297129","Firenze Smn","18740","1","3678793856"
"1072814206","4418_247468","4418_297130","Firenze Smn","06224","1","4055856428"
"1072814206","4418_247469","4418_297131","Firenze Smn","06232","1","1320088241"
"1072814206","4418_247469","4418_297132","Firenze Smn","06230","1","1298689011"
"1072814206","4418_247477","4418_297140","Chiusi C.T.","18721","1","3358630237"
"1072814206","4418_247477","4418_297141","Roma Termini","18715","0","3158390708"
"1072814206","4418_247484","4418_297150","Firenze Smn","18736","1","3772676329"
"1072814206","4418_247488","4418_297201","Prato C.Le","18846","1","1269636653"
"1072814206","4418_247488","4418_297202","Montevarchi T.","18747","0","3312975571"
"1072814206","4418_247491","4418_297205","Prato C.Le","18820","1","125962439"
"1072814206","4418_247491","4418_297206","Pistoia","18826","1","3871323149"
"1072814206","4418_247493","4418_297210","Arezzo","18722","1","2224066596"
"1072814206","4418_247495","4418_297212","Montevarchi T.","18837","0","1782938609"
