route_id,trip_id,service_id,trip_short_name,trip_headsign,route_short_name,direction_id,block_id,shape_id,wheelchair_accessible,trip_bikes_allowed,bikes_allowed,ticketing_trip_id,ticketing_type
001,001-26-1415122023-M#FR-00,001-26-1415122023-M#FR,,,,0,,b68d58fc818a218eb1dc2ecdc3be9044,1,,1,,1
001,001-26-1415122024-M#FR-00,001-26-1415122024-M#FR,,,,0,,b68d58fc818a218eb1dc2ecdc3be9044,1,,1,,1
001,001-26-1415122025-M#FR-00,001-26-1415122025-M#FR,,,,0,,b68d58fc818a218eb1dc2ecdc3be9044,1,,1,,1
001,001-26-1430012024-M#FR-00,001-26-1430012024-M#FR,,,,0,,b68d58fc818a218eb1dc2ecdc3be9044,1,,1,,1
001,001-26-1430012025-M#FR-00,001-26-1430012025-M#FR,,,,0,,b68d58fc818a218eb1dc2ecdc3be9044,1,,1,,1
001,001-26-1430022024-M#FR-00,001-26-1430022024-M#FR,,,,0,,b68d58fc818a218eb1dc2ecdc3be9044,1,,1,,1
001,001-26-1430032024-M#FR-00,001-26-1430032024-M#FR,,,,0,,b68d58fc818a218eb1dc2ecdc3be9044,1,,1,,1
001,001-26-1430102024-M#FR-00,001-26-1430102024-M#FR,,,,0,,b68d58fc818a218eb1dc2ecdc3be9044,1,,1,,1
001,001-26-1430112023-M#FR-00,001-26-1430112023-M#FR,,,,0,,b68d58fc818a218eb1dc2ecdc3be9044,1,,1,,1
001,001-26-1430112024-M#FR-00,001-26-1430112024-M#FR,,,,0,,b68d58fc818a218eb1dc2ecdc3be9044,1,,1,,1
001,001-26-1430122023-M#FR-00,001-26-1430122023-M#FR,,,,0,,b68d58fc818a218eb1dc2ecdc3be9044,1,,1,,1
001,001-26-1430122024-M#FR-00,001-26-1430122024-M#FR,,,,0,,b68d58fc818a218eb1dc2ecdc3be9044,1,,1,,1
001,001-29-1200042024-FR#M-00,001-29-1200042024-FR#M,,,,1,,9a9e0967bb51ab13a76807ec6e5c5ea3,1,,1,,1
001,001-29-1200052024-FR#M-00,001-29-1200052024-FR#M,,,,1,,9a9e0967bb51ab13a76807ec6e5c5ea3,1,,1,,1
001,001-29-1200062024-FR#M-00,001-29-1200062024-FR#M,,,,1,,9a9e0967bb51ab13a76807ec6e5c5ea3,1,,1,,1
001,001-29-1200072024-FR#M-00,001-29-1200072024-FR#M,,,,1,,9a9e0967bb51ab13a76807ec6e5c5ea3,1,,1,,1
001,001-29-1200082024-FR#M-00,001-29-1200082024-FR#M,,,,1,,9a9e0967bb51ab13a76807ec6e5c5ea3,1,,1,,1
001,001-29-1200092024-FR#M-00,001-29-1200092024-FR#M,,,,1,,9a9e0967bb51ab13a76807ec6e5c5ea3,1,,1,,1
001,001-29-1200102024-FR#M-00,001-29-1200102024-FR#M,,,,1,,9a9e0967bb51ab13a76807ec6e5c5ea3,1,,1,,1
001,001-29-1230012024-FR#M-00,001-29-1230012024-FR#M,,,,1,,9a9e0967bb51ab13a76807ec6e5c5ea3,1,,1,,1
001,001-29-1230112023-FR#M-00,001-29-1230112023-FR#M,,,,1,,9a9e0967bb51ab13a76807ec6e5c5ea3,1,,1,,1
001,001-29-1230122023-FR#M-00,001-29-1230122023-FR#M,,,,1,,9a9e0967bb51ab13a76807ec6e5c5ea3,1,,1,,1
001,001-29-1300012024-FR#M-00,001-29-1300012024-FR#M,,,,1,,9a9e0967bb51ab13a76807ec6e5c5ea3,1,,1,,1
001,001-29-1300012025-FR#M-00,001-29-1300012025-FR#M,,,,1,,9a9e0967bb51ab13a76807ec6e5c5ea3,1,,1,,1
001,001-29-1300022024-FR#M-00,001-29-1300022024-FR#M,,,,1,,9a9e0967bb51ab13a76807ec6e5c5ea3,1,,1,,1
001,001-29-1300032024-FR#M-00,001-29-1300032024-FR#M,,,,1,,9a9e0967bb51ab13a76807ec6e5c5ea3,1,,1,,1
001,001-29-1300042024-FR#M-00,001-29-1300042024-FR#M,,,,1,,9a9e0967bb51ab13a76807ec6e5c5ea3,1,,1,,1
001,001-29-1300052024-FR#M-00,001-29-1300052024-FR#M,,,,1,,9a9e0967bb51ab13a76807ec6e5c5ea3,1,,1,,1
001,001-29-1300062024-FR#M-00,001-29-1300062024-FR#M,,,,1,,9a9e0967bb51ab13a76807ec6e5c5ea3,1,,1,,1
001,001-29-1300072024-FR#M-00,001-29-1300072024-FR#M,,,,1,,9a9e0967bb51ab13a76807ec6e5c5ea3,1,,1,,1
001,001-29-1300082024-FR#M-00,001-29-1300082024-FR#M,,,,1,,9a9e0967bb51ab13a76807ec6e5c5ea3,1,,1,,1
001,001-29-1300092024-FR#M-00,001-29-1300092024-FR#M,,,,1,,9a9e0967bb51ab13a76807ec6e5c5ea3,1,,1,,1
001,001-29-1300102024-FR#M-00,001-29-1300102024-FR#M,,,,1,,9a9e0967bb51ab13a76807ec6e5c5ea3,1,,1,,1
001,001-29-1300112024-FR#M-00,001-29-1300112024-FR#M,,,,1,,9a9e0967bb51ab13a76807ec6e5c5ea3,1,,1,,1
001,001-29-1300122024-FR#M-00,001-29-1300122024-FR#M,,,,1,,9a9e0967bb51ab13a76807ec6e5c5ea3,1,,1,,1
001,001-29-1300122025-FR#M-00,001-29-1300122025-FR#M,,,,1,,9a9e0967bb51ab13a76807ec6e5c5ea3,1,,1,,1
001,001-29-1325042024-FR#M-00,001-29-1325042024-FR#M,,,,1,,9a9e0967bb51ab13a76807ec6e5c5ea3,1,,1,,1
001,001-29-1325052024-FR#M-00,001-29-1325052024-FR#M,,,,1,,9a9e0967bb51ab13a76807ec6e5c5ea3,1,,1,,1
