service_id,date,exception_type
006-2-0720122023-M#ZH,20231219,2
006-2-0720122023-M#ZH,20231220,2
006-3-1330122023-ZH#M,20231205,2
006-3-1330122023-ZH#M,20231206,2
006-3-1330122023-ZH#M,20231212,2
006-3-1330122023-ZH#M,20231213,2
006-3-1330122023-ZH#M,20231219,2
006-3-1330122023-ZH#M,20231220,2
006-8-1720122023-M#ZH,20231205,2
006-8-1720122023-M#ZH,20231206,2
006-8-1720122023-M#ZH,20231212,2
006-8-1720122023-M#ZH,20231213,2
006-8-1720122023-M#ZH,20231219,2
006-8-1720122023-M#ZH,20231220,2
007-72-0615042024-HH#ZH,20240409,2
007-72-0615042024-HH#ZH,20240410,2
007-72-0615042024-HH#ZH,20240416,2
007-72-0615042024-HH#ZH,20240417,2
007-72-0615042024-HH#ZH,20240423,2
007-72-0615042024-HH#ZH,20240424,2
007-72-0615052024-HH#ZH,20240514,2
007-72-0615052024-HH#ZH,20240515,2
007-72-0615052024-HH#ZH,20240528,2
007-72-0615052024-HH#ZH,20240529,2
007-72-0615062024-HH#ZH,20240604,2
007-72-0615062024-HH#ZH,20240605,2
007-72-0715012024-HH#ZH,20240116,2
007-72-0715012024-HH#ZH,20240117,2
007-72-0715012024-HH#ZH,20240123,2
007-72-0715012024-HH#ZH,20240124,2
007-72-0715012025-HH#ZH,20250108,2
007-72-0715032024-HH#ZH,20240305,2
007-72-0715032024-HH#ZH,20240306,2
007-72-0715032024-HH#ZH,20240312,2
007-72-0715032024-HH#ZH,20240313,2
007-72-0715032024-HH#ZH,20240319,2
007-72-0715032024-HH#ZH,20240320,2
007-72-0715122024-HH#ZH,20241203,2
007-72-0715122024-HH#ZH,20241204,2
007-72-0715122024-HH#ZH,20241210,2
007-72-0715122024-HH#ZH,20241211,2
007-73-0500042024-ZH#HH,20240409,2
007-73-0500042024-ZH#HH,20240410,2
007-73-0500042024-ZH#HH,20240416,2
007-73-0500042024-ZH#HH,20240417,2
007-73-0500042024-ZH#HH,20240423,2
007-73-0500042024-ZH#HH,20240424,2
007-73-0500052024-ZH#HH,20240514,2
007-73-0500052024-ZH#HH,20240515,2
007-73-0500052024-ZH#HH,20240528,2
007-73-0500052024-ZH#HH,20240529,2
007-73-0500062024-ZH#HH,20240604,2
007-73-0500062024-ZH#HH,20240605,2
007-73-0600012024-ZH#HH,20240116,2
007-73-0600012024-ZH#HH,20240117,2
007-73-0600012024-ZH#HH,20240123,2
